Channel,Cs137,A,B,C
391,562,169,56,1977
392,557,116,44,1892
393,548,135,38,1875
394,551,136,48,1799
395,603,120,47,1823
396,581,141,42,1822
397,583,121,47,1729
398,554,154,50,1797
399,539,141,51,1753
400,574,136,36,1727
401,609,139,49,1656
402,529,156,46,1644
403,545,125,53,1608
404,554,130,41,1636
405,583,133,36,1649
406,567,155,44,1592
407,587,123,60,1534
408,555,148,45,1479
409,575,133,51,1452
410,609,130,38,1518
411,526,145,44,1472
412,554,140,36,1464
413,586,137,48,1411
414,558,145,55,1338
415,583,123,40,1371
416,559,122,44,1324
417,561,150,51,1352
418,510,133,38,1329
419,529,124,47,1332
420,532,135,44,1294
421,538,135,49,1212
422,528,121,46,1168
423,574,145,55,1217
424,554,121,60,1112
425,596,142,33,1155
426,524,126,33,1131
427,564,133,45,1187
428,585,125,44,1118
429,522,111,42,1117
430,533,119,46,1135
431,549,146,42,1069
432,583,124,36,1068
433,547,138,38,1053
434,548,124,46,992
435,553,119,38,986
436,520,137,38,971
437,531,128,41,1063
438,561,136,53,988
439,570,129,50,1010
440,547,125,43,952
441,557,138,48,928
442,516,121,42,928
443,578,124,40,943
444,522,128,33,910
445,522,122,35,891
446,534,117,51,874
447,546,126,41,961
448,538,130,50,897
449,575,123,52,892
450,531,125,44,900
451,554,119,48,868
452,522,117,44,847
453,551,116,55,842
454,515,139,46,843
455,564,120,38,860
456,560,122,48,825
457,548,125,56,854
458,556,127,48,848
459,529,122,56,785
460,527,122,30,800
461,530,117,50,817
462,536,122,37,782
463,568,124,35,795
464,522,127,42,730
465,566,138,38,791
466,553,127,44,763
467,572,119,34,772
468,539,110,38,803
469,531,132,46,756
470,550,94,52,732
471,530,125,44,764
472,549,118,39,772
473,558,133,50,739
474,537,116,53,725
475,544,129,46,730
476,529,126,31,756
477,543,110,57,734
478,542,120,52,699
479,544,129,43,712
480,574,135,47,757
481,525,126,45,771
482,553,139,41,730
483,530,108,30,702
484,542,105,47,713
485,519,102,47,705
486,579,128,36,690
487,561,123,40,766
488,597,116,38,714
489,608,118,52,735
490,556,121,49,706
491,535,118,33,736
492,545,126,32,746
493,563,106,55,760
494,564,104,41,699
495,561,112,38,688
496,544,112,42,731
497,584,126,28,722
498,586,138,37,728
499,581,118,41,745
500,559,109,38,757
501,532,112,28,739
502,562,120,48,731
503,562,119,48,794
504,585,111,43,760
505,621,107,52,787
506,577,118,37,730
507,560,124,26,816
508,619,118,51,793
509,565,105,53,802
510,634,99,34,772
511,580,130,33,827
512,632,119,48,816
513,613,136,41,794
514,522,112,37,894
515,600,133,45,874
516,540,114,39,861
517,553,125,62,907
518,554,122,34,911
519,539,127,38,948
520,546,107,43,955
521,547,112,41,914
522,549,108,46,986
523,566,112,39,1004
524,553,105,35,1050
525,562,125,36,1071
526,529,108,40,1080
527,540,114,40,1209
528,570,127,29,1150
529,545,117,45,1182
530,500,116,36,1250
531,508,137,43,1243
532,509,121,34,1274
533,528,107,34,1411
534,546,120,42,1377
535,526,126,45,1458
536,520,104,28,1566
537,560,114,48,1547
538,493,110,42,1670
539,490,100,49,1711
540,501,115,52,1790
541,535,127,37,1844
542,502,107,43,1849
543,505,88,46,1957
544,492,126,44,2087
545,476,112,31,2127
546,490,127,38,2244
547,474,112,42,2324
548,439,109,49,2433
549,490,105,33,2430
550,462,119,35,2619
551,457,120,42,2677
552,449,121,45,2622
553,446,138,35,2918
554,410,107,39,3100
555,384,112,26,3258
556,403,105,51,3238
557,383,112,40,3364
558,365,111,38,3367
559,444,98,34,3549
560,384,130,44,3710
561,401,128,30,3838
562,365,153,55,3995
563,432,108,39,4205
564,405,98,29,4314
565,378,115,30,4433
566,353,117,28,4580
567,385,122,40,4616
568,317,110,38,4858
569,348,102,42,4896
570,335,106,43,4959
571,298,135,32,5245
572,343,96,35,5411
573,316,127,41,5402
574,301,129,32,5685
575,296,115,44,5759
576,300,126,32,5891
577,314,111,46,6026
578,287,124,47,6177
579,328,105,46,6313
580,305,123,41,6438
581,285,121,36,6664
582,245,109,40,6793
583,282,114,38,6903
584,262,117,53,7056
585,244,105,43,7067
586,258,118,46,7429
587,226,102,36,7539
588,245,110,40,7352
589,244,102,40,7644
590,250,115,40,7786
591,196,118,50,7767
592,242,116,36,8036
593,237,113,33,8129
594,213,118,39,8115
595,200,96,33,8326
596,181,97,42,8144
597,208,132,35,8335
598,199,110,38,8214
599,183,107,42,8540
600,196,130,33,8450
601,193,99,43,8564
602,190,105,37,8419
603,192,136,44,8518
604,164,111,45,8603
605,195,110,34,8573
606,191,116,38,8453
607,185,118,25,8707
608,169,117,34,8564
609,160,116,45,8539
610,172,108,38,8307
611,164,93,37,8625
612,157,118,35,8492
613,159,109,47,8488
614,154,122,42,8330
615,155,114,48,8308
616,168,102,36,8172
617,126,111,35,8194
618,137,130,45,8148
619,128,130,42,8088
620,121,121,37,7898
621,149,94,32,7912
622,138,96,36,7808
623,139,99,35,7709
624,136,125,46,7526
625,121,115,36,7524
626,139,118,45,7216
627,125,87,47,7414
628,133,100,37,6999
629,137,93,32,6935
630,119,118,35,6860
631,130,86,35,6668
632,141,103,40,6559
633,120,98,37,6408
634,110,98,26,6251
635,119,108,39,6084
636,118,101,48,5967
637,108,91,34,5738
638,99,107,45,5793
639,122,99,46,5391
640,99,99,36,5537
641,90,117,49,5287
642,104,121,33,4998
643,113,104,38,4850
644,98,109,34,4714
645,98,118,42,4720
646,99,107,50,4518
647,120,130,46,4419
648,102,101,40,4276
649,111,87,36,4167
650,106,123,34,3978
651,115,116,28,3885
652,107,131,40,3809
653,112,108,43,3641
654,115,98,43,3473
655,131,113,50,3414
656,124,112,42,3261
657,93,97,38,3145
658,116,106,41,2910
659,111,123,42,2933
660,118,105,37,2783
661,127,93,37,2680
662,121,110,38,2595
663,116,97,47,2477
664,101,104,44,2437
665,106,105,41,2376
666,125,127,39,2238
667,123,110,56,2145
668,118,131,32,2055
669,136,120,44,1967
670,124,108,45,1904
671,153,120,25,1782
672,148,112,45,1754
673,144,109,44,1598
674,108,120,42,1693
675,124,111,38,1581
676,142,101,49,1497
677,138,104,44,1471
678,159,108,31,1373
679,134,105,37,1336
680,135,112,59,1220
681,156,125,42,1228
682,146,91,39,1191
683,170,100,35,1211
684,157,124,41,1094
685,153,119,44,1051
686,150,112,50,1016
687,200,91,40,1026
688,173,87,32,933
689,193,104,54,927
690,185,119,38,853
691,218,102,44,875
692,177,126,43,866
693,216,115,34,869
694,209,123,52,815
695,231,112,38,776
696,237,106,38,735
697,224,116,33,739
698,230,117,40,692
699,264,119,38,707
700,286,93,54,721
701,286,113,37,659
702,293,108,29,619
703,290,114,33,655
704,325,127,46,586
705,298,100,47,593
706,337,80,46,599
707,362,96,43,604
708,376,97,50,588
709,361,116,42,577
710,386,119,38,557
711,380,132,37,570
712,384,104,32,520
713,428,117,38,512
714,420,90,38,509
715,452,113,31,517
716,473,110,45,517
717,483,106,42,515
718,513,121,34,480
719,511,115,34,491
720,569,103,39,471
721,599,111,34,510
722,628,106,37,498
723,605,132,39,488
724,605,105,38,489
725,658,104,39,510
726,620,114,31,493
727,703,105,42,480
728,711,107,34,459
729,751,106,28,452
730,784,118,31,450
731,785,121,21,471
732,825,101,36,455
733,895,101,30,470
734,866,110,39,476
735,924,95,43,438
736,890,122,32,416
737,970,132,37,468
738,960,102,30,456
739,993,127,26,411
740,972,103,27,465
741,1044,101,36,443
742,1080,118,38,454
743,1083,101,36,440
744,1135,100,25,391
745,1133,88,27,417
746,1208,118,24,430
747,1174,139,25,467
748,1235,93,24,470
749,1237,117,18,434
750,1344,105,27,401
751,1352,114,25,428
752,1301,113,21,472
753,1352,108,21,466
754,1405,114,19,440
755,1486,125,21,462
756,1464,116,20,415
757,1543,115,30,437
758,1519,95,23,478
759,1510,115,20,401
760,1590,118,16,422
761,1546,111,21,446
762,1537,105,26,430
763,1680,112,25,447
764,1677,135,15,432
765,1647,122,25,451
766,1749,97,19,436
767,1701,112,17,429
768,1743,114,11,415
769,1746,122,20,412
770,1776,96,19,450
771,1860,119,21,421
772,1826,116,8,442
773,1843,116,18,377
774,1856,115,13,456
775,1878,112,13,435
776,1963,112,18,401
777,1854,103,13,436
778,1867,123,12,414
779,1980,107,16,427
780,1865,121,21,439
781,1996,108,15,395
782,1932,111,19,399
783,1832,106,12,450
784,1956,105,15,407
785,1938,107,15,437
786,2017,138,8,411
787,1970,108,12,400
788,1915,110,9,419
789,2018,100,9,449
790,1930,119,21,463
791,1946,115,11,439
792,1908,89,11,393
793,1961,129,6,425
794,1938,106,11,450
795,1864,116,20,437
796,1944,79,16,454
797,1815,120,3,408
798,1839,99,8,441
799,1873,105,10,436
800,1813,104,16,444
801,1776,82,13,435
802,1806,109,9,406
803,1799,120,10,427
804,1752,98,4,415
805,1750,94,5,446
806,1692,126,2,403
807,1759,123,16,413
808,1665,121,16,447
809,1654,118,7,461
810,1558,114,6,448
811,1580,122,8,402
812,1618,87,10,447
813,1539,115,2,443
814,1512,124,6,406
815,1501,116,7,431
816,1536,111,11,412
817,1462,126,10,431
818,1518,114,8,432
819,1326,105,8,403
820,1404,103,7,421
821,1367,104,13,418
822,1319,96,7,471
823,1313,115,5,466
824,1288,123,6,441
825,1228,107,5,433
826,1244,107,9,397
827,1157,115,7,444
828,1167,116,9,443
829,1123,117,7,483
830,1115,118,11,461
831,1034,121,7,436
832,1034,126,5,459
833,991,122,6,439
834,989,96,7,456
835,968,114,12,432
836,897,108,8,442
837,933,109,5,424
838,873,94,8,425
839,837,114,10,444
840,841,106,7,409
841,800,121,10,415
842,744,106,8,450
843,790,109,7,456
844,739,110,6,464
845,644,93,7,442
846,682,119,6,425
847,662,133,3,418
848,597,95,6,457
849,568,117,9,462
850,630,105,8,425
851,555,117,9,442
852,521,134,5,467
853,504,120,13,394
854,487,105,6,450
855,498,107,6,447
856,436,111,8,410
857,459,148,9,445
858,456,126,10,438
859,466,128,12,452
860,362,103,6,469
861,394,104,18,446
862,375,104,9,396
863,366,115,18,439
864,361,111,10,431
865,332,109,16,428
866,298,118,13,422
867,274,114,11,428
868,281,122,13,418
869,253,120,10,472
870,258,120,14,425
871,233,124,14,416
872,239,100,8,449
873,237,122,16,437
874,219,109,18,412
875,193,122,23,485
876,201,98,15,441
877,193,98,18,426
878,202,112,18,387
879,180,104,26,405
880,170,96,18,434
881,164,122,18,458
882,150,111,20,421
883,163,129,13,448
884,127,107,24,397
885,165,103,22,453
886,141,101,13,426
887,144,110,17,431
888,117,106,19,450
889,130,125,30,426
890,116,115,26,410
891,101,130,25,431
892,98,134,27,422
893,97,95,27,428
894,75,107,20,422
895,90,110,38,442
896,78,119,33,413
897,85,104,26,437
898,90,123,29,429
899,76,128,41,442
900,71,114,39,408
901,68,126,34,445
902,83,108,47,417
903,88,123,36,447
904,80,124,34,446
905,55,130,34,427
906,63,100,39,430
907,52,125,37,416
908,57,118,40,406
909,62,114,40,411
910,48,120,54,462
911,54,115,52,400
912,62,100,57,401
913,40,118,39,431
914,61,126,35,442
915,62,132,58,453
916,43,165,54,385
917,57,130,66,425
918,56,109,56,398
919,47,129,48,415
920,46,131,62,424
921,36,133,69,431
922,51,135,69,396
923,43,120,83,414
924,43,97,69,416
925,51,135,75,432
926,39,113,70,437
927,38,107,83,438
928,46,117,68,443
929,41,128,72,397
930,45,123,70,420
931,51,97,73,427
932,47,117,60,406
933,40,134,84,397
934,36,122,60,424
935,26,114,89,432
936,36,141,76,415
937,37,117,88,438
938,43,115,103,439
939,42,134,90,421
940,45,119,97,454
941,44,120,103,420
942,40,122,89,393
943,37,126,96,401
944,32,118,101,398
945,30,156,85,397
946,28,130,100,399
947,29,118,88,423
948,41,126,96,399
949,29,113,100,403
950,29,113,111,433
951,23,121,106,400
952,36,147,96,411
953,38,111,132,416
954,22,125,124,399
955,32,133,109,391
956,38,116,91,397
957,34,129,114,441
958,38,133,126,414
959,38,131,107,435
960,19,121,120,413
961,27,120,105,424
962,38,120,110,408
963,30,129,129,443
964,33,113,109,396
965,28,130,123,411
966,32,130,109,416
967,27,133,125,400
968,31,122,141,440
969,21,110,125,389
970,24,126,134,425
971,32,116,125,418
972,26,123,127,412
973,32,140,112,426
974,34,124,112,391
975,37,154,123,410
976,33,124,143,436
977,35,133,124,437
978,42,150,115,459
979,41,144,127,416
980,32,125,114,404
981,24,127,108,407
982,32,141,144,387
983,32,138,127,398
984,25,128,121,429
985,24,143,136,411
986,23,126,134,386
987,30,116,101,399
988,36,146,136,380
989,21,155,108,449
990,30,122,137,403
991,28,138,118,390
992,24,141,110,418
993,23,131,117,413
994,29,132,92,379
995,27,124,100,397
996,24,136,102,400
997,24,100,107,421
998,28,124,112,418
999,29,157,103,428
1000,27,123,84,407
1001,30,146,114,399
1002,33,121,81,401
1003,35,131,87,374
1004,29,136,93,412
1005,31,121,108,415
1006,25,136,97,406
1007,25,143,75,406
1008,32,120,73,398
1009,24,134,104,416
1010,28,151,112,391
1011,28,125,98,401
1012,22,124,85,425
1013,24,136,68,473
1014,28,133,95,390
1015,25,129,71,407
1016,27,153,77,385
1017,29,130,68,416
1018,28,134,69,404
1019,33,152,83,374
1020,32,145,81,455
1021,39,141,78,411
1022,25,130,64,401
1023,25,140,68,410
1024,26,123,39,402
1025,20,112,60,434
1026,23,127,53,393
1027,27,134,72,405
1028,21,127,56,404
1029,24,124,57,393
1030,27,123,53,401
1031,27,150,66,439
1032,32,138,43,399
1033,25,133,39,439
1034,25,129,50,383
1035,30,142,46,438
1036,20,151,36,381
1037,29,154,49,432
1038,29,137,43,436
1039,29,145,40,425
1040,24,138,33,422
1041,27,135,41,406
1042,33,129,33,415
1043,12,141,36,402
1044,34,122,31,382
1045,31,121,30,395
1046,34,147,38,405
1047,30,132,31,410
1048,26,134,28,397
1049,28,153,28,448
1050,32,137,20,381
1051,26,122,29,402
1052,25,131,26,435
1053,20,133,32,436
1054,21,115,24,404
1055,19,130,20,424
1056,13,136,24,424
1057,26,137,22,451
1058,28,127,19,412
1059,22,134,16,387
1060,26,139,15,391
1061,24,133,16,390
1062,16,126,8,428
1063,23,133,20,462
1064,24,131,19,405
1065,21,135,15,403
1066,26,121,14,448
1067,25,149,11,412
1068,15,120,13,412
1069,15,162,13,408
1070,33,124,10,406
1071,21,126,15,432
1072,22,118,7,403
1073,16,128,12,419
1074,27,116,11,401
1075,25,119,8,439
1076,24,138,12,415
1077,26,136,6,434
1078,32,124,5,424
1079,17,131,11,420
1080,21,130,8,414
1081,18,114,9,391
1082,23,118,14,427
1083,29,136,10,430
1084,28,147,4,432
1085,23,142,8,417
1086,23,138,5,410
1087,21,112,9,422
1088,25,120,5,413
1089,21,149,3,394
1090,21,123,6,431
1091,22,127,3,423
1092,15,128,3,414
1093,27,117,2,431
1094,17,123,6,432
1095,16,122,3,452
1096,19,94,2,418
1097,29,126,2,435
1098,26,122,5,481
1099,15,105,3,431
1100,22,131,0,440
1101,14,122,4,421
1102,29,112,3,412
1103,19,110,4,460
1104,19,120,2,405
1105,14,103,3,460
1106,18,113,0,440
1107,17,119,1,429
1108,13,103,1,454
1109,19,113,2,457
1110,22,113,2,460
1111,23,97,1,443
1112,15,100,0,432
1113,21,105,4,437
1114,14,108,2,479
1115,23,122,2,445
1116,20,100,2,401
1117,19,111,4,426
1118,28,98,2,445
1119,18,129,1,421
1120,19,101,0,436
1121,15,125,0,465
1122,19,98,1,410
1123,19,110,2,461
1124,14,109,2,423
1125,17,96,1,430
1126,19,101,2,435
1127,20,118,1,476
1128,12,100,0,443
1129,17,109,1,461
1130,14,109,1,470
1131,13,100,1,467
1132,17,95,2,489
1133,22,118,0,457
1134,15,107,0,468
1135,13,94,1,466
1136,20,92,1,451
1137,17,102,0,466
1138,19,99,0,461
1139,18,99,2,457
1140,12,88,0,463
1141,14,97,0,485
1142,23,91,0,437
1143,12,96,0,447
1144,17,107,1,454
1145,18,104,0,463
1146,14,95,2,467
1147,19,111,1,457
1148,25,87,1,450
1149,16,71,1,461
1150,18,108,0,389
1151,14,86,0,478
1152,18,87,0,461
1153,10,75,3,441
1154,20,77,0,434
1155,12,90,0,425
1156,21,97,0,468
1157,16,91,2,466
1158,16,81,0,422
1159,16,93,0,421
1160,9,78,0,455
1161,19,100,3,426
1162,15,83,1,430
1163,20,100,0,442
1164,12,95,0,440
1165,11,76,0,440
1166,15,103,0,435
1167,18,88,1,441
1168,18,97,0,400
1169,12,103,1,436
1170,17,75,0,446
1171,12,96,1,415
1172,15,83,0,450
1173,16,82,0,410
1174,16,97,0,453
1175,10,93,1,422
1176,16,93,0,424
1177,7,93,1,434
1178,16,106,1,432
1179,15,78,0,431
1180,17,93,0,434
1181,11,76,0,443
1182,10,85,1,469
1183,13,86,0,472
1184,9,90,0,441
1185,13,76,1,465
1186,22,88,1,420
1187,19,90,0,419
1188,11,102,0,422
1189,14,82,0,416
1190,20,84,0,411
1191,18,98,0,442
1192,15,96,0,415
1193,11,90,0,422
1194,8,82,2,415
1195,7,89,0,410
1196,16,83,0,414
1197,10,87,1,380
1198,17,84,0,442
1199,14,78,0,413
1200,13,94,0,384
1201,16,71,1,402
1202,15,88,0,407
1203,14,89,0,421
1204,13,92,0,374
1205,14,96,0,372
1206,13,80,0,361
1207,14,96,0,375
1208,10,73,0,386
1209,12,81,1,385
1210,14,100,1,353
1211,16,69,0,364
1212,17,88,1,379
1213,16,95,1,354
1214,12,86,1,356
1215,12,93,0,382
1216,9,87,0,360
1217,15,82,0,371
1218,10,65,0,355
1219,22,86,0,359
1220,7,80,2,397
1221,11,77,0,348
1222,10,84,0,352
1223,9,107,0,348
1224,13,86,0,334
1225,16,79,1,333
1226,6,69,1,357
1227,13,78,0,346
1228,11,86,0,345
1229,13,87,0,334
1230,15,107,1,299
1231,10,77,0,302
1232,9,103,0,324
1233,8,80,0,331
1234,16,79,0,319
1235,12,95,0,315
1236,12,84,0,328
1237,11,75,0,328
1238,15,74,0,290
1239,8,89,0,279
1240,11,96,0,313
1241,6,90,0,292
1242,5,97,0,313
1243,11,91,0,267
1244,12,78,0,260
1245,13,92,0,300
1246,15,112,0,282
1247,6,101,0,266
1248,11,77,0,299
1249,8,70,1,299
1250,12,93,0,266
1251,7,85,0,254
1252,9,105,0,257
1253,14,89,0,267
1254,12,98,0,257
1255,6,82,0,268
1256,14,100,0,263
1257,9,99,0,258
1258,7,77,0,198
1259,7,98,0,227
1260,12,112,1,232
1261,14,102,0,252
1262,8,97,0,246
1263,7,99,1,249
1264,17,102,0,253
1265,11,99,1,241
1266,10,106,0,242
1267,6,98,0,216
1268,21,93,0,206
1269,7,92,1,229
1270,11,116,2,210
1271,10,114,0,190
1272,7,110,0,223
1273,4,89,0,201
1274,12,118,0,213
1275,11,115,1,206
1276,6,119,0,208
1277,11,112,0,213
1278,11,100,0,190
1279,6,93,0,198
1280,14,109,1,187
1281,6,102,0,178
1282,11,107,0,196
1283,11,115,0,210
1284,12,115,0,195
1285,14,109,0,199
1286,7,121,0,190
1287,7,117,0,168
1288,14,113,0,184
1289,7,137,0,186
1290,3,121,1,189
1291,12,122,1,175
1292,8,104,0,191
1293,10,134,2,184
1294,7,119,0,178
1295,9,146,0,160
1296,6,137,0,200
1297,14,116,0,163
1298,8,130,2,160
1299,9,138,1,156
1300,11,132,0,162
